Source,Target,Type ,Weight
419,a,Undirected,2608
420,a,Undirected,3461
421,a,Undirected,5591
422,a,Undirected,1495
423,a,Undirected,1674
424,a,Undirected,2187
425,a,Undirected,1777
426,a,Undirected,6112
427,a,Undirected,3859
428,a,Undirected,2196
429,a,Undirected,2542
430,a,Undirected,2718
431,a,Undirected,5547
432,a,Undirected,2511
433,a,Undirected,2817
434,a,Undirected,1694
435,a,Undirected,1898
436,a,Undirected,1389
437,a,Undirected,1800
438,a,Undirected,1952
439,a,Undirected,2208
440,a,Undirected,10005
441,b,Undirected,0
442,b,Undirected,0
443,b,Undirected,3691
444,b,Undirected,0
445,b,Undirected,94
446,b,Undirected,84
447,b,Undirected,0
448,b,Undirected,15
449,b,Undirected,5091
450,b,Undirected,0
451,b,Undirected,0
452,b,Undirected,0
453,b,Undirected,0
454,b,Undirected,0
455,b,Undirected,1
456,b,Undirected,22
457,b,Undirected,0
458,b,Undirected,49
459,b,Undirected,0
460,b,Undirected,24
461,b,Undirected,2050
462,b,Undirected,3273
463,b,Undirected,1565
464,b,Undirected,3587
465,b,Undirected,2637
466,b,Undirected,2068
467,b,Undirected,1303
468,b,Undirected,3185
469,b,Undirected,2434
470,b,Undirected,2781
471,b,Undirected,2323
472,b,Undirected,3035
473,b,Undirected,6756
474,b,Undirected,7208
475,b,Undirected,3556
476,b,Undirected,2340
477,b,Undirected,3625
478,b,Undirected,2413
479,b,Undirected,1816
480,b,Undirected,2799
481,b,Undirected,2330
482,b,Undirected,3823
483,b,Undirected,2786
484,b,Undirected,1347
485,b,Undirected,2220
486,b,Undirected,1755
487,b,Undirected,2906
488,b,Undirected,1859
489,b,Undirected,1752
490,b,Undirected,1217
491,b,Undirected,1759
492,b,Undirected,1348
493,b,Undirected,2052
494,b,Undirected,1193
495,b,Undirected,1780
496,b,Undirected,7634
497,b,Undirected,2917
498,b,Undirected,1752
499,b,Undirected,1263
500,b,Undirected,1795
501,b,Undirected,2290
502,b,Undirected,2331
503,b,Undirected,3559
504,b,Undirected,2750
505,b,Undirected,1674
506,b,Undirected,1434
507,b,Undirected,1464
508,b,Undirected,1301
509,b,Undirected,1951
510,b,Undirected,2799
511,b,Undirected,1784
512,b,Undirected,1153
513,b,Undirected,3030
514,b,Undirected,1827
515,b,Undirected,2947
516,b,Undirected,3566
517,b,Undirected,1956
518,b,Undirected,1787
519,b,Undirected,1566
520,b,Undirected,3475
521,b,Undirected,1659
522,b,Undirected,4144
523,b,Undirected,4538
524,b,Undirected,2263
525,b,Undirected,4705
526,b,Undirected,2172
527,b,Undirected,3009
528,b,Undirected,1461
529,b,Undirected,3934
530,b,Undirected,5971
531,b,Undirected,3218
532,b,Undirected,2196
533,b,Undirected,1218
534,b,Undirected,4893
535,b,Undirected,2281
536,b,Undirected,2413
537,b,Undirected,7268
538,b,Undirected,3523
539,b,Undirected,1855
540,b,Undirected,3150
541,b,Undirected,2018
542,b,Undirected,1822
543,b,Undirected,3022
544,b,Undirected,2727
545,b,Undirected,3302
546,b,Undirected,3124
547,b,Undirected,3782
548,b,Undirected,4408
549,b,Undirected,4252
550,b,Undirected,1522
551,b,Undirected,4493
552,b,Undirected,2719
553,b,Undirected,2118
554,b,Undirected,2143
555,b,Undirected,2959
556,b,Undirected,3782
557,b,Undirected,6143
558,b,Undirected,13401
559,b,Undirected,7808
560,b,Undirected,16697
561,b,Undirected,4554
562,b,Undirected,6262
563,b,Undirected,5472
564,b,Undirected,2417
565,b,Undirected,2693
566,b,Undirected,5752
567,b,Undirected,2579
568,b,Undirected,3907
569,b,Undirected,1301
570,b,Undirected,1869
571,b,Undirected,2424
572,b,Undirected,4585
573,b,Undirected,1596
574,b,Undirected,1408
575,b,Undirected,942
576,b,Undirected,3982
577,b,Undirected,2632
578,b,Undirected,2670
579,b,Undirected,3411
580,b,Undirected,7807
581,b,Undirected,2519
582,b,Undirected,7641
583,b,Undirected,1790
584,b,Undirected,2921
585,b,Undirected,4344
586,b,Undirected,8107
587,b,Undirected,2969
588,b,Undirected,3592
589,b,Undirected,4689
590,b,Undirected,2798
591,b,Undirected,2407
592,b,Undirected,1782
593,b,Undirected,2501
594,b,Undirected,2725
595,b,Undirected,5317
596,b,Undirected,3736
597,b,Undirected,2489
598,b,Undirected,7630
599,b,Undirected,4373
600,b,Undirected,1854
601,b,Undirected,1793
602,b,Undirected,4652
603,b,Undirected,1962
604,b,Undirected,2408
605,b,Undirected,2005
606,b,Undirected,2002
607,b,Undirected,2284
608,b,Undirected,2387
609,b,Undirected,3764
610,b,Undirected,2107
611,b,Undirected,1558
612,b,Undirected,2490
613,b,Undirected,1839
614,b,Undirected,1953
615,b,Undirected,5022
616,b,Undirected,2101
617,b,Undirected,860
618,b,Undirected,747
619,b,Undirected,1832
620,b,Undirected,2870
621,b,Undirected,1309
622,b,Undirected,5544
623,b,Undirected,3403
624,b,Undirected,1341
625,b,Undirected,3260
626,b,Undirected,6726
627,b,Undirected,5469
628,b,Undirected,1934
629,b,Undirected,2415
630,b,Undirected,9979
631,b,Undirected,1910
632,b,Undirected,1175
633,b,Undirected,4055
634,b,Undirected,1254
635,b,Undirected,1329
636,b,Undirected,974
637,b,Undirected,1251
638,b,Undirected,1423
639,b,Undirected,1492
640,b,Undirected,1439
641,b,Undirected,1140
642,b,Undirected,1777
643,b,Undirected,1527
644,b,Undirected,1163
645,b,Undirected,2085
646,b,Undirected,1190
647,b,Undirected,1838
648,b,Undirected,2210
649,b,Undirected,1907
650,b,Undirected,2972
651,b,Undirected,2171
652,b,Undirected,2252
653,b,Undirected,2720
654,b,Undirected,888
655,b,Undirected,1150
656,b,Undirected,1122
657,b,Undirected,1726
658,b,Undirected,3027
659,b,Undirected,1070
660,b,Undirected,1108
661,b,Undirected,1530
662,b,Undirected,1379
663,b,Undirected,1640
664,b,Undirected,2049
665,b,Undirected,3620
666,b,Undirected,3103
667,b,Undirected,6464
668,b,Undirected,2941
669,b,Undirected,4526
670,b,Undirected,2245
671,b,Undirected,4074
672,b,Undirected,2646
673,b,Undirected,5358
674,b,Undirected,2507
675,b,Undirected,1664
676,b,Undirected,3187
677,b,Undirected,2165
678,b,Undirected,1518
679,b,Undirected,2285
680,b,Undirected,2572
681,b,Undirected,2723
682,b,Undirected,6555
683,b,Undirected,2934
684,b,Undirected,1154
685,b,Undirected,1076
686,b,Undirected,1988
687,b,Undirected,1368
688,b,Undirected,2042
689,b,Undirected,1162
690,b,Undirected,1174
691,b,Undirected,1222
692,b,Undirected,773
693,b,Undirected,1471
694,b,Undirected,797
695,b,Undirected,585
696,b,Undirected,994
697,b,Undirected,2516
698,b,Undirected,2074
699,b,Undirected,2301
700,b,Undirected,3447
701,b,Undirected,1078
702,b,Undirected,1362
703,b,Undirected,3248
704,b,Undirected,1832
705,b,Undirected,1939
706,b,Undirected,1982
707,b,Undirected,1430
708,b,Undirected,4345
709,b,Undirected,1686
710,b,Undirected,3194
711,b,Undirected,3236
712,b,Undirected,1477
713,b,Undirected,2681
714,b,Undirected,2086
715,b,Undirected,1434
716,b,Undirected,5328
717,b,Undirected,3563
718,b,Undirected,903
719,b,Undirected,942
720,b,Undirected,875
721,b,Undirected,866
722,b,Undirected,3952
723,b,Undirected,1417
724,b,Undirected,1193
725,b,Undirected,1431
726,b,Undirected,2070
727,b,Undirected,1364
728,b,Undirected,8595
729,b,Undirected,4801
730,b,Undirected,1757
731,b,Undirected,1667
732,b,Undirected,3600
733,b,Undirected,2674
734,b,Undirected,1714
735,b,Undirected,1696
736,b,Undirected,1745
737,b,Undirected,1378
738,b,Undirected,1199
739,b,Undirected,1006
740,b,Undirected,1291
741,b,Undirected,2426
742,b,Undirected,1261
743,b,Undirected,1704
744,b,Undirected,2102
745,b,Undirected,1127
746,b,Undirected,2617
747,b,Undirected,1802
748,b,Undirected,2156
749,b,Undirected,1728
750,b,Undirected,2687
751,b,Undirected,1821
752,b,Undirected,2430
753,b,Undirected,1197
754,b,Undirected,6481
755,b,Undirected,2188
756,b,Undirected,1977
757,b,Undirected,1873
758,b,Undirected,1425
759,b,Undirected,1089
760,b,Undirected,2132
761,b,Undirected,6253
762,b,Undirected,2436
763,b,Undirected,3102
764,b,Undirected,2071
765,b,Undirected,2215
766,b,Undirected,2212
767,b,Undirected,1266
768,b,Undirected,1398
769,b,Undirected,1469
770,b,Undirected,1728
771,b,Undirected,1716
772,b,Undirected,5806
773,b,Undirected,2445
774,b,Undirected,7073
775,b,Undirected,3902
776,b,Undirected,1674
777,b,Undirected,1635
778,b,Undirected,1715
779,b,Undirected,2877
780,b,Undirected,3583
781,b,Undirected,4321
782,b,Undirected,1955
783,b,Undirected,1353
784,b,Undirected,1048
785,b,Undirected,1121
786,b,Undirected,1194
787,b,Undirected,4326
788,b,Undirected,4188
789,b,Undirected,1835
