Source,Target,Type,Weight
463,b,Undirected,6332
464,b,Undirected,19312
465,b,Undirected,10923
466,b,Undirected,9187
467,b,Undirected,5121
468,b,Undirected,14415
469,b,Undirected,12051
470,b,Undirected,16012
471,b,Undirected,12650
472,b,Undirected,15655
473,b,Undirected,28837
474,b,Undirected,39864
475,b,Undirected,19154
476,b,Undirected,12783
477,b,Undirected,18694
478,b,Undirected,11990
479,b,Undirected,8245
480,b,Undirected,14395
481,b,Undirected,9706
482,b,Undirected,16048
483,b,Undirected,13352
484,b,Undirected,5854
485,b,Undirected,10939
486,b,Undirected,6948
487,b,Undirected,13250
488,b,Undirected,8352
489,b,Undirected,7173
490,b,Undirected,5004
491,b,Undirected,6781
492,b,Undirected,6050
493,b,Undirected,10765
494,b,Undirected,5457
495,b,Undirected,7216
496,b,Undirected,31449
497,b,Undirected,10149
498,b,Undirected,6544
499,b,Undirected,4450
500,b,Undirected,6797
501,b,Undirected,7852
502,b,Undirected,9041
503,b,Undirected,16061
504,b,Undirected,12745
505,b,Undirected,7899
506,b,Undirected,7002
507,b,Undirected,7213
508,b,Undirected,9861
509,b,Undirected,16502
510,b,Undirected,16202
511,b,Undirected,9527
512,b,Undirected,5775
513,b,Undirected,24688
514,b,Undirected,11246
515,b,Undirected,18142
516,b,Undirected,13209
517,b,Undirected,8209
518,b,Undirected,7135
519,b,Undirected,6988
520,b,Undirected,18116
521,b,Undirected,7307
522,b,Undirected,19696
523,b,Undirected,17384
524,b,Undirected,9145
525,b,Undirected,19988
526,b,Undirected,9249
527,b,Undirected,13909
528,b,Undirected,11158
529,b,Undirected,17226
530,b,Undirected,29270
531,b,Undirected,22479
532,b,Undirected,9473
533,b,Undirected,5186
534,b,Undirected,29228
535,b,Undirected,11170
536,b,Undirected,11574
537,b,Undirected,41855
538,b,Undirected,14641
539,b,Undirected,8375
540,b,Undirected,14723
541,b,Undirected,8104
542,b,Undirected,7131
543,b,Undirected,14980
544,b,Undirected,15694
