Source,Target,Type,Weight
692,b,Undirected,115
693,b,Undirected,250
694,b,Undirected,84
695,b,Undirected,48
696,b,Undirected,108
697,b,Undirected,308
698,b,Undirected,449
699,b,Undirected,377
700,b,Undirected,617
701,b,Undirected,172
702,b,Undirected,304
703,b,Undirected,675
704,b,Undirected,327
705,b,Undirected,309
706,b,Undirected,422
707,b,Undirected,194
708,b,Undirected,1232
709,b,Undirected,159
710,b,Undirected,741
711,b,Undirected,964
712,b,Undirected,197
713,b,Undirected,683
714,b,Undirected,312
715,b,Undirected,245
716,b,Undirected,525
717,b,Undirected,282
718,b,Undirected,110
719,b,Undirected,79
720,b,Undirected,85
721,b,Undirected,191
722,b,Undirected,884
723,b,Undirected,191
724,b,Undirected,304
725,b,Undirected,213
726,b,Undirected,368
727,b,Undirected,262
728,b,Undirected,2975
729,b,Undirected,576
730,b,Undirected,267
731,b,Undirected,326
732,b,Undirected,950
733,b,Undirected,499
734,b,Undirected,271
735,b,Undirected,315
736,b,Undirected,279
737,b,Undirected,184
738,b,Undirected,132
739,b,Undirected,94
740,b,Undirected,160
741,b,Undirected,371
742,b,Undirected,224
743,b,Undirected,305
744,b,Undirected,475
745,b,Undirected,250
746,b,Undirected,455
747,b,Undirected,483
748,b,Undirected,375
749,b,Undirected,226
750,b,Undirected,885
751,b,Undirected,398
752,b,Undirected,536
753,b,Undirected,141
754,b,Undirected,635
755,b,Undirected,465
756,b,Undirected,274
757,b,Undirected,312
758,b,Undirected,148
759,b,Undirected,121
760,b,Undirected,331
761,b,Undirected,1909
762,b,Undirected,472
763,b,Undirected,499
764,b,Undirected,274
765,b,Undirected,291
766,b,Undirected,268
767,b,Undirected,123
768,b,Undirected,158
769,b,Undirected,150
770,b,Undirected,116
771,b,Undirected,185
772,b,Undirected,1247
773,b,Undirected,383
774,b,Undirected,1190
775,b,Undirected,535
776,b,Undirected,205
777,b,Undirected,164
778,b,Undirected,193
779,b,Undirected,668
780,b,Undirected,772
781,b,Undirected,922
782,b,Undirected,294
783,b,Undirected,211
784,b,Undirected,116
785,b,Undirected,195
786,b,Undirected,176
787,b,Undirected,1151
788,b,Undirected,723
789,b,Undirected,532
790,b,Undirected,401
791,b,Undirected,467
792,b,Undirected,425
793,b,Undirected,206
794,b,Undirected,303
795,b,Undirected,448
796,b,Undirected,91
797,b,Undirected,101
798,b,Undirected,399
799,b,Undirected,1386
800,b,Undirected,239
